FID,LAYER,X,Y,Z
"159",cam,35117.536,167079.022,565.670
"160",cam,35108.171,167081.628,567.271
"161",cam,35102.075,167083.484,567.863
"162",cam,35100.573,167087.680,568.667
"163",cam,35101.016,167091.797,569.185
"164",cam,35103.067,167097.636,569.868
"165",cam,35104.840,167102.849,570.180
"166",cam,35106.265,167106.986,570.503
"167",cam,35107.203,167112.721,570.919
"168",cam,35106.960,167117.830,571.236
"169",cam,35105.709,167121.549,571.441
"170",cam,35103.762,167126.137,571.783
"171",cam,35102.059,167130.134,572.120
"172",cam,35099.244,167134.896,572.472
"173",cam,35094.986,167143.272,573.420
"174",cam,35092.935,167146.643,573.869
"175",cam,35096.272,167147.060,573.364
"176",cam,35103.744,167147.408,572.628
"177",cam,35110.765,167147.964,571.999
"178",cam,35116.744,167148.277,571.584
"179",cam,35121.853,167148.346,571.328
"180",cam,35129.882,167148.551,571.105
"181",cam,35134.336,167148.551,570.971
"182",cam,35138.317,167148.486,570.888
"183",cam,35142.287,167148.358,570.711
"184",cam,35145.590,167148.211,570.635
"185",cam,35148.428,167147.865,570.586
"186",cam,35152.531,167147.585,570.511
"187",cam,35155.248,167147.185,570.468
"188",cam,35159.098,167146.706,570.387
"189",cam,35162.429,167146.213,570.318
"190",cam,35166.372,167145.240,570.184
"191",cam,35170.901,167144.175,570.075
"192",cam,35175.001,167142.610,570.037
"193",cam,35178.642,167141.252,570.038
"194",cam,35181.832,167139.700,570.060
"195",cam,35184.086,167138.421,570.043
"196",cam,35186.507,167136.702,570.097
"197",cam,35189.222,167134.271,570.175
"198",cam,35191.868,167131.501,570.327
"199",cam,35193.786,167128.730,570.505
"200",cam,35196.061,167125.678,570.638
"201",cam,35199.590,167120.254,571.035
"202",cam,35202.255,167115.913,571.242
"203",cam,35204.473,167112.024,571.468
"204",cam,35207.010,167107.806,571.746
"205",cam,35208.991,167104.183,571.925
"206",cam,35210.548,167101.507,572.089
"207",cam,35211.560,167099.768,572.187
"208",cam,35213.695,167101.001,572.196
"209",cam,35211.952,167103.841,571.999
"210",cam,35209.542,167108.230,571.794
"211",cam,35206.055,167114.089,571.423
"212",cam,35202.859,167119.465,571.105
"213",cam,35200.898,167122.724,570.950
"214",cam,35198.620,167126.255,570.724
"215",cam,35195.702,167130.477,570.559
"216",cam,35193.318,167133.621,570.395
"217",cam,35191.186,167135.966,570.270
"218",cam,35188.376,167138.457,570.187
"219",cam,35184.878,167141.041,570.156
"220",cam,35181.561,167142.973,570.103
"221",cam,35176.100,167145.491,570.144
"222",cam,35170.785,167146.911,570.177
"223",cam,35166.603,167147.876,570.276
"224",cam,35161.795,167148.824,570.436
"225",cam,35156.834,167149.603,570.542
"226",cam,35151.294,167150.129,570.601
"227",cam,35148.160,167150.443,570.678
"228",cam,35143.414,167150.707,570.751
"229",cam,35137.859,167150.812,570.904
"230",cam,35131.793,167150.893,571.081
"231",cam,35125.893,167150.946,571.292
"232",cam,35119.858,167150.759,571.505
"233",cam,35112.962,167150.425,571.876
"234",cam,35106.122,167150.222,572.375
"235",cam,35096.089,167149.833,573.369
"236",cam,35088.118,167150.486,574.289
"237",cam,35082.812,167152.455,574.811
"238",cam,35080.351,167156.174,575.215
"239",cam,35078.358,167163.846,575.916
"240",cam,35077.386,167170.870,576.366
"241",cam,35076.017,167176.524,576.708
"242",cam,35074.852,167179.811,576.828
"243",cam,35075.714,167179.262,576.787
"244",cam,35077.564,167178.380,576.758
"245",cam,35080.190,167178.315,576.723
"246",cam,35084.192,167179.456,576.594
"247",cam,35087.592,167180.876,576.382
"248",cam,35093.595,167183.221,576.163
"249",cam,35099.340,167185.545,575.941
"250",cam,35103.623,167187.008,575.880
"251",cam,35111.658,167189.003,575.842
"252",cam,35117.414,167189.833,575.914
