FID,LAYER,X,Y,Z
"695",cam,35101.120,166998.315,559.382
"696",cam,35105.917,166996.959,558.942
"697",cam,35113.807,166995.082,558.470
"698",cam,35115.973,166994.667,558.323
"699",pc,35045.314,167129.220,572.557
"700",cam,34995.669,167263.271,571.802
"701",cam,34997.372,167265.044,571.742
"702",cam,34999.388,167265.739,571.723
"703",cam,35002.586,167265.773,572.182
"704",cam,35006.687,167265.634,572.594
"705",cam,35011.518,167264.870,572.939
"706",cam,35015.133,167263.862,573.230
"707",cam,35019.756,167262.263,573.637
"708",cam,35024.691,167260.560,574.143
"709",cam,35029.420,167258.358,574.609
"710",cam,35032.596,167256.177,575.035
"711",cam,35034.766,167254.354,575.300
"712",cam,35036.694,167252.163,575.543
"713",cam,35038.744,167249.054,575.819
"714",cam,35040.632,167246.102,576.008
"715",cam,35042.646,167242.681,576.226
"716",cam,35043.877,167240.567,576.342
"717",cam,35046.048,167236.502,576.579
"718",cam,35047.646,167233.198,576.833
"719",cam,35049.125,167229.854,577.052
"720",cam,35050.466,167226.594,577.221
"721",cam,35053.001,167220.976,577.463
"722",cam,35055.141,167215.601,577.574
"723",cam,35057.107,167210.353,577.580
"724",cam,35059.872,167204.776,577.628
"725",cam,35062.202,167199.950,577.586
"726",cam,35065.053,167193.970,577.420
"727",cam,35067.040,167189.815,577.340
"728",cam,35069.252,167184.993,577.182
"729",cam,35072.863,167177.275,576.759
"730",cam,35073.828,167174.176,576.558
"731",cam,35074.810,167171.637,576.395
"732",cam,35074.997,167168.708,576.301
"733",cam,35075.425,167165.093,576.109
"734",cam,35075.617,167161.181,575.805
"735",cam,35075.453,167158.282,575.486
"736",cam,35075.398,167154.673,575.337
"737",cam,35074.988,167151.965,575.313
"738",cam,35073.402,167149.859,575.201
"739",cam,35071.187,167148.246,575.140
"740",cam,35069.108,167146.386,575.108
"741",cam,35067.166,167143.815,574.950
"742",cam,35065.608,167141.135,574.682
"743",cam,35064.486,167138.674,574.401
"744",cam,35063.215,167135.806,574.066
"745",cam,35061.537,167132.182,573.419
"746",cam,35060.378,167129.914,573.190
"747",cam,35059.215,167127.251,572.793
"748",cam,35058.166,167125.197,572.472
"749",cam,35056.720,167122.912,572.122
"750",cam,35055.347,167121.067,571.803
"751",cam,35054.414,167120.093,571.649
"752",cam,35053.261,167119.181,571.536
"753",cam,35051.668,167118.300,571.433
"754",cam,35049.519,167117.598,571.319
"755",cam,35047.674,167117.483,571.295
"756",cam,35045.295,167117.975,571.299
"757",cam,35043.482,167118.782,571.302
"758",cam,35041.637,167119.904,571.425
"759",cam,35039.006,167121.654,571.576
"760",cam,35036.816,167123.426,571.770
"761",cam,35032.529,167126.298,572.064
"762",cam,35028.525,167129.065,572.402
"763",cam,35025.078,167131.329,572.562
"764",cam,35022.454,167133.034,572.670
"765",cam,35019.430,167135.272,572.875
"766",cam,35016.193,167137.643,572.821
"767",cam,35013.529,167139.628,572.800
"768",cam,35011.597,167141.187,572.781
"769",cam,35008.293,167143.585,572.694
"770",cam,35005.496,167145.676,572.570
"771",cam,35002.818,167147.794,572.385
"772",cam,34999.977,167150.116,572.165
"773",cam,34996.489,167152.960,571.858
"774",cam,34993.086,167155.669,571.609
"775",cam,34989.219,167158.664,571.468
"776",cam,34986.914,167160.571,571.428
"777",cam,34984.230,167162.688,571.437
"778",cam,34981.641,167164.963,571.498
"779",cam,34978.801,167167.384,571.498
"780",cam,34975.784,167169.873,571.497
"781",cam,34973.866,167171.477,571.569
"782",cam,34971.665,167173.311,571.625
"783",cam,34969.495,167175.135,571.670
"784",cam,34966.436,167177.606,571.688
"785",cam,34964.291,167179.324,571.757
"786",cam,34962.653,167180.816,571.706
"787",cam,34960.148,167183.028,571.711
"788",cam,34958.456,167184.586,571.702
"789",cam,34954.059,167188.635,571.503
"790",cam,34951.421,167191.113,571.320
"791",cam,34948.677,167193.431,571.068
"792",cam,34945.640,167196.202,570.790
"793",cam,34942.834,167199.021,570.151
"794",cam,34940.902,167201.273,569.808
"795",cam,34938.731,167203.404,569.392
"796",cam,34935.813,167206.255,568.860
"797",cam,34933.655,167208.413,568.480
"798",cam,34930.605,167211.506,567.934
"799",cam,34927.033,167214.977,567.195
"800",cam,34922.360,167219.599,566.108
"801",cam,34919.753,167222.410,565.543
"802",cam,34917.636,167224.814,565.062
"803",cam,34913.996,167228.708,564.332
"804",cam,34910.966,167232.026,563.752
"805",cam,34907.461,167235.785,563.077
"806",cam,34903.855,167239.425,562.383
"807",cam,34900.502,167242.947,561.874
"808",cam,34898.369,167245.114,561.597
"809",cam,34895.609,167247.924,561.235
"810",cam,34893.662,167250.065,561.037
"811",cam,34891.671,167252.067,560.847
"812",cam,34890.266,167253.471,560.724
"813",cam,34887.740,167256.207,560.591
"814",cam,34885.707,167258.356,560.447
"815",cam,34883.872,167260.232,560.298
"816",cam,34882.311,167261.804,560.134
"817",cam,34881.189,167263.083,560.023
"818",cam,34879.428,167265.137,559.885
"819",cam,34877.645,167266.776,559.555
"820",cam,34874.940,167269.669,559.292
"821",cam,34873.600,167271.086,559.138
"822",cam,34871.357,167273.413,558.836
"823",cam,34869.418,167275.404,558.586
"824",cam,34866.420,167278.601,558.270
"825",cam,34863.873,167281.221,557.991
"826",cam,34861.509,167283.659,557.709
"827",cam,34859.307,167285.935,557.424
"828",cam,34856.482,167288.920,557.095
"829",cam,34854.187,167291.488,556.820
"830",cam,34852.420,167293.300,556.550
"831",cam,34850.287,167295.450,556.183
"832",cam,34847.903,167298.073,555.858
"833",cam,34846.287,167299.764,555.584
"834",cam,34845.050,167301.075,555.314
"835",cam,34844.612,167301.879,555.150
"836",cam,34845.074,167301.937,555.233
"837",cam,34847.202,167300.790,555.622
"838",cam,34851.300,167298.993,556.188
"839",cam,34854.830,167297.294,556.671
"840",cam,34859.754,167295.166,557.233
"841",cam,34863.745,167293.409,557.718
"842",cam,34867.918,167291.661,558.191
"843",cam,34872.908,167289.558,558.784
"844",cam,34877.996,167287.216,559.447
"845",cam,34883.101,167284.997,560.101
"846",cam,34887.340,167283.175,560.675
"847",cam,34892.618,167280.964,561.275
"848",cam,34897.987,167279.002,561.850
"849",cam,34903.199,167277.064,562.403
"850",cam,34905.352,167276.305,562.621
"851",cam,34907.603,167275.901,562.890
"852",cam,34909.112,167275.967,563.022
"853",cam,34911.430,167276.123,563.197
"854",cam,34913.012,167276.003,563.315
"855",cam,34916.090,167274.977,563.733
"856",cam,34919.407,167273.805,564.227
"857",cam,34923.043,167272.393,564.704
"858",cam,34927.080,167270.595,565.240
"859",cam,34931.502,167268.583,565.832
"860",cam,34935.552,167266.771,566.389
"861",cam,34939.082,167265.253,566.791
"862",cam,34943.492,167263.055,567.269
"863",cam,34948.168,167260.990,567.884
"864",cam,34952.057,167259.511,568.379
"865",cam,34955.374,167258.832,568.721
"866",cam,34958.478,167258.512,569.032
"867",cam,34961.236,167258.672,569.211
"868",cam,34963.847,167259.018,569.335
"869",cam,34966.098,167259.471,569.442
"870",cam,34968.416,167260.044,569.504
"871",cam,34971.200,167260.737,569.603
"872",cam,34973.998,167261.483,569.703
"873",cam,34976.542,167262.042,569.856
"874",cam,34980.645,167262.988,570.012
"875",cam,34984.122,167263.774,570.233
"876",cam,34987.426,167264.440,570.529
"877",cam,34990.317,167264.866,570.804
"878",cam,34994.586,167265.387,571.202
"879",cam,34993.524,167263.675,571.504
"880",cam,34991.659,167261.477,571.531
"881",cam,34989.913,167259.106,571.586
"882",cam,34987.276,167255.815,571.883
"883",cam,34984.931,167253.231,572.077
"884",cam,34982.480,167250.260,572.254
"885",cam,34980.242,167247.409,572.462
"886",cam,34977.898,167244.785,572.517
"887",cam,34975.806,167241.814,572.603
"888",cam,34972.643,167236.888,572.646
"889",cam,34970.276,167232.993,572.830
"890",cam,34967.995,167229.464,573.100
"891",cam,34965.413,167226.043,573.108
"892",cam,34962.702,167222.148,572.994
"893",cam,34959.646,167217.436,572.864
"894",cam,34956.892,167213.713,572.621
"895",cam,34953.406,167208.936,572.111
"896",cam,34950.566,167204.848,571.639
"897",cam,34947.812,167199.985,571.314
"898",cam,34946.176,167197.769,571.020
"899",pc,34945.429,167220.435,570.555
"900",cam,34946.720,167195.601,570.904
"901",cam,34948.979,167198.528,571.312
"902",cam,34951.884,167203.455,571.776
"903",cam,34955.908,167208.964,572.376
"904",cam,34961.029,167215.785,573.040
"905",cam,34962.449,167218.561,573.036
"906",cam,34966.581,167223.919,573.246
"907",cam,34970.052,167228.783,573.213
"908",cam,34971.796,167231.272,573.026
"909",cam,34974.065,167235.081,572.768
"910",cam,34977.366,167240.076,572.758
"911",cam,34979.043,167243.022,572.660
"912",cam,34981.802,167246.729,572.552
"913",cam,34985.832,167251.758,572.235
"914",cam,34989.811,167256.431,571.946
"915",cam,34993.400,167260.562,571.792
"916",cam,34994.636,167262.289,571.792
"917",pc,34942.542,167151.731,566.073
"918",cam,35054.903,167115.786,571.278
"919",cam,35057.173,167118.438,571.653
"920",cam,35059.552,167121.748,572.218
"921",cam,35061.385,167125.412,572.714
"922",cam,35063.901,167131.292,573.408
"923",cam,35066.499,167136.597,574.300
"924",cam,35069.179,167141.821,574.872
"925",cam,35070.957,167144.282,575.082
"926",cam,35074.074,167146.251,575.167
"927",cam,35077.930,167147.537,575.104
"928",cam,35082.498,167147.345,574.802
"929",cam,35088.159,167146.744,574.435
"930",cam,35090.428,167146.087,574.131
"931",cam,35092.206,167143.462,573.760
"932",cam,35094.503,167138.238,573.242
"933",cam,35097.594,167132.632,572.667
"934",cam,35099.590,167128.967,572.378
"935",cam,35101.778,167125.385,572.041
"936",cam,35103.419,167121.830,571.687
"937",cam,35104.403,167118.466,571.450
"938",cam,35104.731,167115.321,571.210
"939",cam,35104.540,167112.039,571.087
"940",cam,35103.993,167109.031,570.848
"941",cam,35102.598,167104.464,570.527
"942",cam,35100.739,167099.951,570.189
"943",cam,35099.399,167095.904,569.792
"944",cam,35098.250,167092.403,569.375
"945",cam,35096.609,167088.985,568.944
"946",cam,35095.105,167087.453,568.697
"947",cam,35093.245,167087.015,568.635
"948",cam,35089.991,167088.465,568.874
"949",cam,35086.025,167091.008,569.141
"950",cam,35081.458,167094.126,569.461
"951",cam,35075.250,167098.091,569.761
"952",cam,35071.449,167100.690,569.981
"953",cam,35066.991,167103.397,570.129
"954",cam,35063.299,167105.612,570.317
"955",cam,35059.799,167107.417,570.513
"956",cam,35056.517,167109.960,570.735
"957",cam,35054.985,167111.765,570.923
"958",cam,35054.356,167113.789,571.084
"959",cam,35054.537,167115.074,571.221
"960",pc,34854.136,167251.222,557.292
"961",pc,34860.200,167253.524,557.821
"962",pc,34865.028,167257.174,558.372
"963",pc,34869.183,167261.047,558.915
"964",pc,34870.137,167265.539,559.148
"965",pc,34862.895,167273.118,558.182
"966",pc,34859.919,167270.929,557.963
"967",pc,34858.965,167266.437,557.967
"968",pc,34858.291,167263.967,557.949
"969",pc,34855.652,167261.047,557.696
"970",pc,34851.161,167260.767,557.366
"971",pc,34850.375,167266.830,557.138
"972",pc,34851.891,167270.536,557.138
"973",pc,34855.484,167273.455,557.375
"974",pc,34857.505,167276.431,557.541
"975",pc,34856.158,167280.979,557.371
"976",pc,34851.217,167279.856,556.858
"977",pc,34848.354,167277.385,556.664
"978",pc,34846.445,167282.158,556.416
"979",pc,34847.624,167289.063,556.449
"980",pc,34846.389,167293.723,556.174
"981",pc,34844.873,167292.656,556.116
"982",pc,34870.923,167256.388,558.872
"983",pc,34860.761,167249.538,557.594
"984",pc,34876.257,167259.363,559.680
"985",pc,34851.610,167256.781,557.423
"986",pc,34863.429,167261.916,558.397
"987",pc,34858.590,167292.165,557.504
"988",pc,34854.662,167295.988,556.913
"989",pc,34863.421,167290.879,558.068
"990",pc,34864.186,167283.997,558.286
"991",pc,34866.619,167286.743,558.612
"992",pc,34871.971,167287.438,559.144
"993",pc,34877.081,167284.796,559.741
"994",pc,34874.300,167282.259,559.531
"995",pc,34872.215,167278.540,559.269
"996",pc,34871.971,167275.238,559.134
"997",pc,34877.533,167270.302,559.765
"998",pc,34878.992,167273.674,559.886
"999",pc,34881.217,167277.393,560.229
"1000",pc,34882.607,167278.818,560.439
"1001",pc,34886.709,167280.799,560.938
"1002",pc,34892.791,167277.845,561.502
"1003",pc,34891.609,167275.724,561.417
"1004",pc,34890.428,167273.743,561.268
"1005",pc,34888.446,167270.545,561.167
"1006",pc,34885.979,167267.243,560.989
"1007",pc,34884.032,167265.679,560.742
"1008",pc,34883.580,167264.046,560.651
"1009",pc,34887.299,167260.327,560.995
"1010",pc,34890.984,167261.578,561.410
"1011",pc,34894.008,167264.115,561.760
"1012",pc,34896.615,167267.382,561.920
"1013",pc,34898.909,167270.997,562.158
"1014",pc,34904.609,167273.674,562.656
"1015",pc,34908.502,167273.083,563.099
"1016",pc,34911.943,167272.735,563.489
"1017",pc,34914.932,167271.623,563.948
"1018",pc,34912.325,167268.738,563.643
"1019",pc,34910.379,167268.182,563.418
"1020",pc,34904.991,167267.521,562.806
"1021",pc,34902.697,167266.722,562.544
"1022",pc,34902.697,167263.907,562.542
"1023",pc,34901.967,167262.204,562.425
"1024",pc,34897.275,167261.265,561.940
"1025",pc,34894.911,167260.049,561.748
"1026",pc,34895.294,167254.731,561.636
"1027",pc,34895.850,167250.873,561.643
"1028",pc,34891.123,167258.067,561.339
"1029",pc,34900.714,167245.799,562.315
"1030",pc,34905.093,167249.692,562.958
"1031",pc,34909.924,167253.759,563.696
"1032",pc,34915.069,167256.991,564.348
"1033",pc,34920.004,167260.641,565.016
"1034",pc,34923.341,167263.248,565.307
"1035",pc,34924.662,167267.558,565.292
"1036",pc,34916.077,167265.264,564.272
"1037",pc,34907.769,167258.973,563.226
"1038",pc,34902.660,167255.879,562.572
"1039",pc,34899.879,167252.563,562.182
"1040",pc,34932.240,167266.378,566.217
"1041",pc,34932.404,167262.850,566.286
"1042",pc,34930.162,167259.240,566.201
"1043",pc,34925.676,167258.310,565.736
"1044",pc,34921.602,167253.141,565.383
"1045",pc,34917.992,167248.847,564.886
"1046",pc,34913.561,167250.981,564.241
"1047",pc,34911.018,167247.015,563.898
"1048",pc,34910.115,167242.202,563.843
"1049",pc,34910.006,167238.920,563.947
"1050",pc,34909.733,167236.185,563.962
"1051",pc,34915.339,167233.970,564.871
"1052",pc,34919.961,167238.346,565.459
"1053",pc,34922.531,167241.710,565.701
"1054",pc,34925.184,167244.937,565.994
"1055",pc,34928.712,167249.285,566.389
"1056",pc,34932.459,167253.469,566.658
"1057",pc,34936.971,167257.681,567.061
"1058",pc,34939.268,167258.884,567.283
"1059",pc,34942.851,167260.744,567.604
"1060",pc,34947.828,167258.611,568.225
"1061",pc,34946.488,167254.891,568.265
"1062",pc,34943.179,167251.801,568.195
"1063",pc,34938.257,167251.090,567.433
"1064",pc,34936.233,167247.535,567.347
"1065",pc,34932.370,167242.220,567.160
"1066",pc,34929.731,167239.413,566.950
"1067",pc,34925.240,167235.090,566.322
"1068",pc,34922.938,167232.451,565.956
"1069",pc,34917.885,167228.914,565.330
"1070",pc,34922.826,167222.963,566.392
"1071",pc,34927.935,167226.500,567.183
"1072",pc,34932.146,167230.991,567.706
"1073",pc,34935.065,167236.886,567.984
"1074",pc,34940.904,167240.255,568.685
"1075",pc,34943.936,167245.308,568.763
"1076",pc,34949.101,167249.126,569.095
"1077",pc,34953.894,167252.604,569.260
"1078",pc,34957.056,167255.280,569.411
"1079",pc,34962.513,167256.358,569.816
"1080",pc,34968.857,167256.255,570.309
"1081",pc,34973.849,167257.537,570.541
"1082",pc,34977.913,167259.259,570.504
"1083",pc,34982.596,167260.761,570.656
"1084",pc,34985.467,167261.866,570.731
"1085",pc,34987.853,167262.396,570.909
"1086",pc,34989.178,167262.617,571.072
"1087",pc,34987.278,167259.127,571.316
"1088",pc,34984.275,167256.123,571.603
"1089",pc,34982.949,167253.782,571.861
"1090",pc,34979.990,167250.115,572.149
"1091",pc,34976.942,167246.890,572.288
"1092",pc,34973.275,167244.328,572.194
"1093",pc,34970.359,167241.987,572.011
"1094",pc,34967.267,167236.509,572.198
"1095",pc,34965.323,167233.196,572.447
"1096",pc,34962.585,167229.839,572.458
"1097",pc,34957.725,167225.554,572.055
"1098",pc,34953.396,167220.960,571.640
"1099",pc,34949.774,167215.703,571.391
"1100",pc,34948.581,167211.109,571.275
"1101",pc,34946.947,167207.044,570.969
"1102",pc,34944.429,167203.290,570.556
"1103",pc,34941.336,167206.868,570.043
"1104",pc,34937.051,167211.197,569.460
"1105",pc,34932.060,167216.189,568.587
"1106",pc,34928.570,167220.209,567.672
"1107",pc,34930.116,167224.449,567.708
"1108",pc,34934.357,167225.863,568.363
"1109",pc,34938.288,167230.722,568.864
"1110",pc,34943.192,167233.550,569.524
"1111",pc,34947.123,167236.288,569.892
"1112",pc,34950.127,167239.292,570.179
"1113",pc,34954.501,167243.180,570.359
"1114",pc,34957.725,167245.919,570.338
"1115",pc,34961.834,167250.557,570.285
"1116",pc,34965.456,167252.854,570.425
"1117",pc,34970.536,167253.914,570.688
"1118",pc,34975.705,167255.107,570.988
"1119",pc,34980.520,167256.697,571.134
"1120",pc,34977.295,167250.734,571.795
"1121",pc,34973.142,167248.437,571.683
"1122",pc,34968.327,167244.505,571.435
"1123",pc,34963.601,167239.911,571.593
"1124",pc,34960.199,167234.698,571.775
"1125",pc,34955.649,167230.016,571.529
"1126",pc,34949.774,167224.449,571.044
"1127",pc,34943.085,167216.510,570.310
"1128",pc,34939.860,167214.257,569.900
"1129",pc,34936.149,167218.542,569.171
"1130",pc,34933.146,167221.016,568.483
"1131",pc,34938.579,167224.859,569.260
"1132",pc,34941.362,167227.421,569.659
"1133",pc,34944.410,167230.292,569.934
"1134",pc,34949.534,167233.650,570.501
"1135",pc,34952.980,167236.079,570.821
"1136",pc,34956.382,167238.641,570.931
"1137",pc,34957.221,167234.268,571.510
"1138",pc,34953.510,167231.706,571.232
"1139",pc,34949.269,167228.923,570.777
"1140",pc,34945.603,167226.140,570.404
"1141",pc,34942.290,167223.799,569.978
"1142",pc,34938.888,167221.192,569.495
"1143",pc,34951.934,167195.245,571.593
"1144",pc,34957.885,167202.207,572.597
"1145",pc,34964.117,167209.843,573.554
"1146",pc,34967.205,167215.513,573.769
"1147",pc,34973.886,167223.710,573.798
"1148",pc,34977.985,167231.402,573.427
"1149",pc,34981.690,167238.757,573.035
"1150",pc,34986.912,167247.010,572.777
"1151",pc,34992.638,167253.579,572.588
"1152",pc,34997.804,167259.923,572.607
"1153",pc,35002.464,167262.337,572.755
"1154",pc,35008.583,167260.485,573.585
"1155",pc,35012.008,167258.632,574.021
"1156",pc,35017.679,167257.734,574.518
"1157",pc,35022.282,167254.983,575.212
"1158",pc,35027.167,167251.165,575.482
"1159",pc,35029.525,167248.021,575.749
"1160",pc,35033.343,167243.417,576.096
"1161",pc,35035.476,167240.104,576.182
"1162",pc,35037.890,167236.567,576.534
"1163",pc,35040.024,167232.525,576.846
"1164",pc,35042.157,167229.044,577.069
"1165",pc,35045.357,167223.430,577.295
"1166",pc,35048.165,167217.815,577.451
"1167",pc,35051.084,167211.864,577.509
"1168",pc,35055.127,167204.734,577.494
"1169",pc,35055.239,167197.940,577.372
"1170",pc,35057.485,167194.572,577.173
"1171",pc,35061.190,167189.968,577.147
"1172",pc,35064.053,167184.466,576.997
"1173",pc,35065.345,167178.964,576.851
"1174",pc,35067.197,167175.595,576.735
"1175",pc,35069.106,167171.721,576.534
"1176",pc,35069.948,167166.724,576.320
"1177",pc,35070.510,167161.559,575.883
"1178",pc,35069.106,167156.618,575.476
"1179",pc,35067.141,167152.352,575.284
"1180",pc,35068.489,167150.274,575.238
"1181",pc,35070.566,167153.025,575.312
"1182",pc,35072.307,167156.955,575.494
"1183",pc,35073.429,167160.829,575.798
"1184",pc,35074.136,167168.469,576.372
"1185",pc,35072.811,167173.461,576.587
"1186",pc,35071.707,167176.597,576.756
"1187",pc,35071.442,167179.115,576.889
"1188",pc,35069.542,167180.264,576.998
"1189",pc,35069.144,167183.930,577.123
"1190",pc,35066.494,167187.067,577.248
"1191",pc,35065.169,167191.263,577.401
"1192",pc,35063.402,167196.255,577.487
"1193",pc,35061.105,167198.508,577.534
"1194",pc,35059.514,167203.500,577.629
"1195",pc,35056.908,167205.797,577.620
"1196",pc,35057.394,167208.624,577.628
"1197",pc,35055.053,167211.098,577.608
"1198",pc,35054.434,167214.411,577.610
"1199",pc,35052.181,167217.018,577.583
"1200",pc,35052.579,167219.624,577.522
"1201",pc,35050.326,167221.126,577.499
"1202",pc,35050.856,167222.937,577.392
"1203",pc,35048.250,167224.792,577.313
"1204",pc,35048.515,167227.664,577.180
"1205",pc,35047.278,167231.374,577.026
"1206",pc,35045.687,167230.093,577.087
"1207",pc,35044.760,167232.788,576.925
"1208",pc,35045.864,167234.997,576.761
"1209",pc,35044.097,167237.647,576.623
"1210",pc,35042.816,167237.206,576.645
"1211",pc,35041.668,167239.238,576.531
"1212",pc,35041.800,167241.932,576.355
"1213",pc,35038.178,167244.009,576.206
"1214",pc,35036.720,167247.145,576.073
"1215",pc,35035.571,167249.795,575.895
"1216",pc,35034.202,167252.137,575.699
"1217",pc,35033.009,167254.831,575.430
"1218",pc,35030.005,167255.582,575.268
"1219",pc,35027.355,167258.233,574.874
"1220",pc,35025.765,167258.145,574.887
"1221",pc,35024.086,167258.675,574.668
"1222",pc,35021.789,167260.530,574.304
"1223",pc,35020.154,167259.912,574.281
"1224",pc,35017.548,167260.928,573.970
"1225",pc,35014.897,167261.502,573.752
"1226",pc,35013.175,167263.401,573.508
"1227",pc,35010.833,167263.843,573.325
"1228",pc,35008.934,167263.755,573.161
"1229",pc,35005.886,167265.213,572.675
"1230",pc,35005.091,167264.682,572.696
"1231",pc,35001.689,167265.257,572.241
"1232",pc,34999.215,167264.815,572.040
"1233",pc,35033.156,167250.665,575.787
"1234",pc,35029.297,167253.932,575.478
"1235",pc,35064.031,167145.657,574.992
"1236",pc,35061.747,167139.591,574.380
"1237",pc,35059.535,167133.954,573.582
"1238",pc,35057.109,167128.103,572.771
"1239",pc,35053.613,167126.676,572.348
"1240",pc,35051.258,167121.324,571.732
"1241",pc,35048.903,167121.182,571.676
"1242",pc,35044.907,167122.609,571.758
"1243",pc,35041.339,167124.749,571.998
"1244",pc,35037.629,167126.961,572.240
"1245",pc,35034.632,167129.816,572.570
"1246",pc,35031.421,167131.814,572.693
"1247",pc,35028.139,167134.097,572.916
"1248",pc,35024.856,167136.095,573.105
"1249",pc,35021.717,167138.450,573.288
"1250",pc,35015.366,167142.446,573.238
"1251",pc,35012.655,167145.442,573.188
"1252",pc,35009.658,167148.225,573.167
"1253",pc,35006.732,167150.794,573.014
"1254",pc,35003.093,167153.149,572.717
"1255",pc,34999.811,167155.789,572.462
"1256",pc,34995.244,167159.143,572.177
"1257",pc,34991.961,167161.712,571.998
"1258",pc,34987.751,167165.779,571.983
"1259",pc,34983.212,167169.846,572.055
"1260",pc,34978.838,167173.645,572.221
"1261",pc,34974.112,167177.444,572.305
"1262",pc,34970.357,167179.874,572.334
"1263",pc,34967.000,167181.994,572.258
"1264",pc,34963.731,167184.954,572.256
"1265",pc,34960.948,167187.516,572.241
"1266",pc,34957.855,167190.255,572.037
"1267",pc,34955.337,167193.082,571.951
"1268",pc,34957.902,167195.794,572.355
"1269",pc,34961.392,167200.388,572.980
"1270",pc,34967.002,167206.396,573.759
"1271",pc,34972.700,167212.889,574.250
"1272",pc,34979.150,167220.046,574.198
"1273",pc,34984.716,167226.451,574.145
"1274",pc,34990.547,167233.563,574.001
"1275",pc,34997.483,167241.250,574.061
"1276",pc,35003.181,167247.964,574.053
"1277",pc,34992.726,167245.614,573.335
"1278",pc,34998.863,167255.747,573.038
"1279",pc,35006.212,167254.320,573.776
"1280",pc,35011.421,167254.962,574.409
"1281",pc,35015.132,167252.750,575.028
"1282",pc,35018.557,167250.538,575.182
"1283",pc,35021.482,167247.755,575.419
"1284",pc,35027.119,167243.260,575.823
"1285",pc,35030.616,167237.480,576.172
"1286",pc,35033.399,167233.984,576.454
"1287",pc,35036.039,167228.061,576.900
"1288",pc,35036.324,167222.067,577.085
"1289",pc,35036.681,167217.643,577.112
"1290",pc,35038.965,167213.219,577.199
"1291",pc,35042.318,167210.650,577.225
"1292",pc,35045.601,167208.510,577.354
"1293",pc,35047.599,167204.300,577.305
"1294",pc,35043.888,167215.574,577.380
"1295",pc,35048.343,167196.548,577.147
"1296",pc,35049.611,167188.825,576.836
"1297",pc,35052.146,167185.252,576.834
"1298",pc,35053.754,167181.488,576.746
"1299",pc,35058.702,167177.689,576.728
"1300",pc,35058.375,167171.087,576.410
"1301",pc,35059.779,167166.820,576.167
"1302",pc,35060.902,167163.115,575.983
"1303",pc,35062.754,167158.342,575.652
"1304",pc,35062.305,167154.356,575.325
"1305",pc,35060.789,167150.033,575.080
"1306",pc,35058.656,167144.419,574.601
"1307",pc,35056.579,167139.703,573.966
"1308",pc,35050.459,167135.099,573.341
"1309",pc,35046.978,167134.425,573.258
"1310",pc,35042.093,167134.987,573.188
"1311",pc,35038.220,167135.941,573.164
"1312",pc,35033.728,167136.952,573.249
"1313",pc,35028.507,167140.040,573.433
"1314",pc,35023.398,167142.847,573.712
"1315",pc,35016.773,167147.282,573.654
"1316",pc,35012.506,167151.381,573.577
"1317",pc,35008.407,167155.816,573.304
"1318",pc,34999.986,167161.711,572.693
"1319",pc,34993.585,167166.652,572.479
"1320",pc,34987.522,167172.266,572.547
"1321",pc,34983.086,167176.140,572.775
"1322",pc,34979.100,167180.519,573.066
"1323",pc,34974.159,167183.326,573.007
"1324",pc,34970.791,167186.078,573.031
"1325",pc,34967.366,167188.604,572.929
"1326",pc,34962.931,167192.366,572.754
"1327",pc,34964.166,167197.250,573.215
"1328",pc,34968.601,167202.640,573.845
"1329",pc,34976.405,167210.500,574.373
"1330",pc,34984.771,167218.416,574.553
"1331",pc,34989.206,167225.940,574.526
"1332",pc,34995.550,167233.407,574.515
"1333",pc,35002.512,167241.548,574.587
"1334",pc,35006.723,167245.702,574.795
"1335",pc,35012.506,167244.130,575.340
"1336",pc,35018.738,167241.941,575.684
"1337",pc,35020.703,167238.179,575.931
"1338",pc,35024.464,167234.081,576.103
"1339",pc,35028.170,167228.410,576.505
"1340",pc,35030.640,167221.448,576.739
"1341",pc,35032.437,167214.655,576.862
"1342",pc,35035.637,167209.546,576.951
"1343",pc,35040.016,167205.223,577.065
"1344",pc,35041.869,167198.261,577.047
"1345",pc,35043.329,167190.794,576.769
"1346",pc,35045.799,167184.449,576.549
"1347",pc,35047.427,167179.565,576.419
"1348",pc,35048.831,167173.052,576.263
"1349",pc,35050.122,167168.111,576.180
"1350",pc,35051.806,167163.845,575.924
"1351",pc,35054.670,167160.644,575.675
"1352",pc,35055.905,167156.602,575.404
"1353",pc,35057.028,167151.774,575.171
"1354",pc,35054.838,167145.991,574.608
"1355",pc,35050.403,167140.994,573.929
"1356",pc,35045.238,167138.692,573.549
"1357",pc,35040.690,167138.804,573.456
"1358",pc,35036.872,167140.264,573.571
"1359",pc,35032.605,167144.082,573.938
"1360",pc,35026.878,167147.001,574.262
"1361",pc,35021.769,167149.921,574.203
"1362",pc,35018.738,167152.953,574.146
"1363",pc,35011.888,167159.353,573.746
"1364",pc,35007.228,167163.957,573.476
"1365",pc,35000.491,167168.336,573.083
"1366",pc,34993.417,167172.266,572.925
"1367",pc,34989.824,167177.824,573.113
"1368",pc,34985.669,167182.372,573.474
"1369",pc,34981.177,167186.134,573.566
"1370",pc,34976.293,167189.727,573.666
"1371",pc,34971.464,167193.657,573.643
"1372",pc,34970.061,167197.531,573.738
"1373",pc,34975.282,167204.100,574.337
"1374",pc,34996.124,167228.055,574.979
