id;Nome_est;local;lat_aprox;lng_aprox
1;AGUE;;40.575580500000;-8.446893330000
2;AMAR;;38.208695140000;-7.227882900000
3;ARRD;;38.982891190000;-9.079441820000
4;AVI1;;39.056612500000;-7.889489900000
5;BAIO;;41.164266560000;-8.034044360000
6;BEJ_;;38.012881440000;-7.872853040000
7;BNAF;;37.232369980000;-8.126695110000
8;BORB;;38.810318960000;-7.462517940000
9;BOTI;;41.692904580000;-7.658091390000
10;BRAG;;41.553327920000;-8.428915390000
11;BRGN;;41.807403920000;-6.763866740000
12;CASC;;38.693411930000;-9.418523640000
13;CBRA;;39.818990640000;-7.512179520000
14;CRNH;;39.407009310000;-9.135414730000
15;EDVD;;40.912676310000;-8.484302810000
16;ENTM;;39.471184650000;-8.473908960000
17;FAJA;;40.149092180000;-7.921668150000
18;FCOA;;41.081904810000;-7.144227520000
19;FLRS;;39.453832540000;-31.126389210000
20;FRNS;;37.769332650000;-25.308211190000
21;FUNC;;32.647946050000;-16.907616620000
22;FVFI;;38.720502770000;-8.320507950000
23;GAIA;;41.106019580000;-8.589092870000
24;GRIB;;39.040448360000;-8.641734620000
25;GUAD;;40.536483760000;-7.266418530000
26;IGP0;;38.726023790000;-9.158522080000
27;LAGO;;37.098935210000;-8.668379940000
28;LEIR;;39.731532550000;-8.794802590000
29;MELR;;39.694842770000;-8.130416240000
30;MERT;;37.646538730000;-7.660049670000
31;MESS;;37.834626860000;-8.244691410000
32;MIRA;;41.516782340000;-7.186165780000
33;MOGD;;41.342621810000;-6.713475160000
34;MVEL;;40.181060810000;-8.679109790000
35;ODEM;;37.598658430000;-8.631253900000
36;PCO1;;41.912149189000;-8.560056297000
37;PDEL;;37.747746680000;-25.662765600000
38;PLGR;;39.290940690000;-7.432895730000
39;PMLA;;38.571463080000;-8.903450370000
40;PNMC;;40.170119440000;-7.175539510000
41;SCAC;;38.018776540000;-8.692597430000
42;SMA1;;38.459215490000;-7.751987900000
43;TABU;;41.116200390000;-7.567581580000
44;TAVI;;37.132303090000;-7.640910540000
45;TERC;;38.718990740000;-27.152994460000
46;TRRA;;38.290842490000;-8.219179070000
47;VSEU;;40.653259510000;-7.906258210000
