id;Nome_est;local;lat_aprox;lng_aprox
99;POVE;PORTO VELHO;-8.709336591;-63.89631978
100;PPTE;PRESIDENTE PRUDENTE;-22.11990474;-51.40853402
101;PRCV;CASCAVEL;-24.96275473;-53.4663292
102;PRGU;GUARAPUAVA;-25.38399834;-51.48757782
103;PRMA;MARINGÃ;-23.40968829;-51.93842421
104;PRUR;UMUARAMA;-23.80608449;-53.32066073
105;RIOB;RIO BRANCO;-9.965459046;-67.80281163
106;RJCG;CAMPOS DOS GOYTACAZES;-21.76486581;-41.32615575
107;RJNI;NITEROI - UFF;-22.90593577;-43.13380398
108;RJVA;LABORATÃ“RIO GRAVIMETRIA ONRJ - VASSOURAS;-22.40221101;-43.65186274
109;RNMO;MOSSORÃ“;-5.204233916;-37.32546473
110;RNNA;NATAL;-5.836140611;-35.20770793
111;RNPF;PAU DOS FERROS;-6.131767284;-38.20682832
112;ROGM;GUAJARÃ-MIRIM;-10.7842432;-65.33060754
113;ROJI;JI-PARANÃ;-10.86390089;-61.95971538
114;ROSA;ROSANA;-22.52330371;-52.95208848
115;RSAL;ALEGRETE;-29.78944546;-55.76883972
116;RSCL;CERRO LARGO;-28.14188036;-54.75475928
117;RSPE;PELOTAS - CAPÃƒO DO LEÃƒO;-31.80244945;-52.41762855
118;RSPF;PASSO FUNDO;-28.22813983;-52.39062023
119;RSSL;SÃO LEOPOLDO;-29.792998;-51.152431
120;SAGA;SÃƒO GABRIEL DA CACHOEIRA;-0.143854466;-67.05778104
121;SALU;SÃƒO LUÃS;-2.593459473;-44.21247891
122;SAVO;SALVADOR-INCRA;-12.93924684;-38.43225372
123;SCAQ;ARAQUARI;-26.39375675;-48.73744077
124;SCCA;IFSC-CAÃ‡ADOR ;-26.77972777;-51.03931313
125;SCCH;CHAPECÃ“;-27.13756575;-52.59950675
126;SCFL;FLORIANÃ“POLIS;-27.59937948;-48.51953377
127;SCLA;LAGES;-27.79283568;-50.3042613
128;SEAJ;ARACAJU - SÃƒO CRISTÃ“VÃƒO;-10.9296328;-37.10427789
129;SJRP;SÃƒO JOSÃ‰ DO RIO PRETO;-20.78551898;-49.35995068
130;SJSP;SÃƒO JOSÃ‰ DOS CAMPOS;-23.20713242;-45.86173778
131;SMAR;SANTA MARIA;-29.71892389;-53.71659314
132;SPAR;ARAÃ‡ATUBA;-21.18466611;-50.43978813
133;SPBO;BOTUCATU;-22.85246736;-48.43230056
134;SPBP;BRAGANÃ‡A PAULISTA;-22.92558832;-46.53447006
135;SPC1;CAMPINAS - UNICAMP;-22.81628626;-47.06269329
136;SPDR;DRACENA;-21.46160445;-51.55425737
137;SPFE;FERNANDÃ“POLIS;-20.26287522;-50.2286952
138;SPFR;FRANCA;-20.51057351;-47.3866418
139;SPJA;JABOTICABAL;-21.2410733;-48.28670287
140;SPLI;LINS - UNILINS;-21.66520419;-49.73369509
141;SPOR;OURINHOS - UNESP;-22.99916995;-49.84328801
142;SPPI;PIRACICABA;-22.70304915;-47.62362037
143;SPS1;SOROCABA - UNESP;-23.4791914;-47.41683519
144;SPTU;TUPÃƒ;-21.92911781;-50.49236961
145;SSA1;SALVADOR-CAPITANIA DOS PORTOS;-12.97515825;-38.51648464
146;TOGU;GURUPI;-11.74670624;-49.04909857
147;TOPL;PALMAS;-10.17105354;-48.33067909
148;UBA1;UBATUBA(MARÃ‰GRAFO);-23.50017695;-45.11890149
149;UBE1;UBERLÃ‚NDIA - REDE CEMIG;-18.88953561;-48.31697164
150;UFPR;CURITIBA-UFPR;-25.4483686;-49.23095477
151;VICO;VIÃ‡OSA;-20.76150055;-42.86998949
